author,score,date,content,text_length,days_since_release,tfidf_mean,tfidf_max,tfidf_nnz
Emma F,10.0,2024-07-21,I absolutely hate plane movies or anything like them but even as someone who only watches dog movies this caught my attention and I enjoyed it! Definitely surprised me and is well worth a try!,192,786,0.003253833348688123,0.37082559180884417,11
Dustie H,9.0,2024-07-21,I’ve always loved the first Top Gun. Maverick is even better!,61,786,0.0024301347919379267,0.4844824548694051,6
Ace N,8.0,2024-07-21,Great movie with top quality action shots!,42,786,0.0024500853001287173,0.5464423278291022,7
King C,10.0,2024-07-20,"This movie shows tom cruise mentoring a group of upcoming pilots to carry out a mission of destroying an enemy base, this movie is engaging and definetley worth watching if and when you have time!",196,785,0.003477564093267471,0.3742917788241852,13
Ed C,10.0,2024-07-20,"A cinematic MASTERPIECE. All-heart and off-the-charts UBER-cool!!!!!!!

(May part 3 be follow suit.)",102,785,0.002435242843715704,0.4578626282384732,6
bill r,10.0,2024-07-16,one of the best movie i have ever watched superb script and acting,66,781,0.0025457035252969594,0.49644054468834403,7
Irene M,7.0,2024-07-13,"decided to see it only after I enjoyed other movies with Glen Powell and Lewis Pullman. By the climax I have to admit I was riveted by the action. Enjoyed all the extras, learning how all the actors had to go thru a crash course in becoming naval aviators in 6 months so they could film everything without special effects, as well as the documentary on the Skunkworks jet. But felt NO Chemistry between Jennifer Connoly and TOm Cruise, their best scene was the one on the sailboat.",481,778,0.004779733447756319,0.35327756516700254,25
Nathan H,10.0,2024-07-12,This movie makes me proud to be an American!,44,777,0.002535738377410613,0.44823282858391095,7
David D,7.0,2024-07-11,"I don't understand the hype surrounding this movie, I mean I do to a certain extent, though I do feel it's overblown a wee bit.  It's a solid film, and a worthy successor to the original Top Gun.  It's no masterpiece though.  What it does do is give the audience what they want.  This is a movie that would have been slightly above average in the 80s or 90s, but due to the lack of talent in today's writers(at least those whose scripts are green lit), this shines all the brighter.  To paraphrase an Eddie Murphy joke ""When you are starving, and someone throws you a cracker, you think it's the best damn cracker you've ever eaten.""  So it is with Top Gun: Maverick.  It's an action movie throw back to the 80s, and it hits every mark it needs to for it's genre.  A worthwhile movie to watch, like catching up with an old friend you haven't seen in a long time.",862,776,0.006634590427718175,0.34786980208111973,50
ahsen k,6.0,2024-07-08,"Its a good drama movie but the film lacked action like in the first movie
an actual dog fight  that was intensive.",115,773,0.00315745066585214,0.3898096233530889,11
smg A,10.0,2024-07-08,"“I gotta give you your dream shot. I'm gonna send you up against the best. You two characters are going to TOPGUN.”

One of the best movies I have ever seen and the best Tom cruise movie I have seen I wish I saw this in theaters but was to busy when it came out I was on the edge of my seat the whole time just like the first watch I have to rewatch the original because it’s been a couple of years since I’ve seen the original but I really loved this one. 10/10",464,773,0.006065695746792116,0.32906191799957196,41
Verril Manuel A,10.0,2024-07-08,The Sequel is amazing and great!,32,773,0.0018794915862564464,0.7588460363430296,4
Vabian G,10.0,2024-07-08,"The Sequel After Top Gun 1, This Movie is Amazing!",50,773,0.0024730324871911455,0.5349867822293212,7
unknown,9.0,2024-07-03,"No nonsense, all the ingredients needed for an action film, acting great, story great, and unleashed testosterone. Top stuff!",125,768,0.003203671328145027,0.36668543176461005,11
Simon L,10.0,2024-07-01,"Favorite movie, period",22,766,0.0018966128902681227,0.6280815259049337,4
Keira J,10.0,2024-06-30,Great acting! Great storyline! Great soundtrack! The movie is absolutely perfect!!! You can FEEL the intensity and emotions of the characters. The mission completion and the life and death situation is palpable! Huge fan of Tom Cruise after this movie! The man is an acting genius!,281,765,0.005129608481928875,0.2832937325274231,28
Richard F,10.0,2024-06-29,"People say 'Fan Service' like it is a negative thing. This movie proves the value of well delivered fan service. As a lifelong fan of the original movie, this sequel gave us everything we could have asked for. Great Dog Fights, they gave us so much character development from Maverick to Ice Man and the gosling. The movie sits with Aliens and Terminator 2 in the hallowed halls of amazing sequels.",398,764,0.004681440747512493,0.404002454420263,28
conan t,10.0,2024-06-27,Now that’s a movie!  It’s got everything you would expect done brilliantly.  Love it!,85,762,0.002114456184914848,0.5862666286491176,5
Roman B,10.0,2024-06-23,Amazing pro America and its allies movie. Great actors great story love it.,75,758,0.002876829096382138,0.4584711127068111,9
Zane D,10.0,2024-06-23,One of the best movies ever!,28,758,0.0017050186018306868,0.7101246873299907,3
Michael E,9.0,2024-06-22,This film is an experience like nothing I've seen before.,57,757,0.0025708615758106086,0.545949596083625,7
Rexie S,10.0,2024-06-22,"How movies should be. Period. A perfect tribute to its own past, an amazing narrative to its presence. 10/10.",109,757,0.002883829193944688,0.49103651839683005,9
Simone C,8.0,2024-06-21,"Eh, it was ok. With Tom Cruise being in it though, I was expecting way more precision in the flight scenes. Instead there were turns that made no sense, G forces that made no sense and had no end, it was a bit ridiculous... Still ok though.",240,756,0.003301354734831368,0.5819114540992664,14
Joshua S. I,10.0,2024-06-19,Finally! A great flick where I don’t feel like I’m getting preached at the entire time!,87,754,0.003065994598883344,0.41939351903973904,10
Ken T,10.0,2024-06-19,It really doesn’t get any better than this!  Worth the wait!,60,754,0.0025826854984808568,0.4727717715645133,7
unknown,4.0,2024-06-18,Not enough world building in my opinion,39,753,0.0014141378340736806,0.7143864685638115,2
Jonathan S,9.0,2024-06-18,"It has the all the nostalgia from the Top Gun, maybe a little too much.
Sometimes it feels frame by frame, until you get to the final act, which I can say it quite an achievement. 4.5/5",186,753,0.0029236117950228336,0.6255800733376586,10
Mike S,10.0,2024-06-17,"What a ride! I was not expecting to enjoy this film, but it truly embodies what it means to be in the cinema and enjoy the experience. The writing, music, acting, and pacing is all impeccable.",192,752,0.0033255174104592274,0.4921119211430582,12
Jason O,8.0,2024-06-17,1st Top Gun was better but I like the new take and the storyline. a good movie to see.,86,752,0.002832041159449671,0.4913832742507159,9
Alex M,8.0,2024-06-16,"8.3/10

That's it. That's my entire review.",45,751,0.0013989226823277368,0.8031620268763677,2
unknown,10.0,2024-06-16,"This movie is like a cheese-burger: it's cheesy, it's good, and it's all-American. What's not to love?!",103,751,0.0025024073248098013,0.5194354308871637,7
unknown,10.0,2024-06-16,"Finally we get a sequel and unlike most sequels this was just as good at the original.
Well written, acted and directed.",121,751,0.0031785002700658923,0.3859704762740095,11
J T,10.0,2024-06-15,One of the best movies in the last 35 years.,44,750,0.00196828602354337,0.5829736430349657,4
Luke F,10.0,2024-06-15,Absolute must watch Movie. Makes you proud to be an American! Feeling the need for Speed,88,750,0.0036348056628767314,0.319460743179175,14
Sam D,10.0,2024-06-15,"Wasnt expecting to enjoy it as much as I did. Seemed to capture the spirit of the first movie - and had a certain 90s charm to it.
Tom Cruise is just the consummate movie star.
May watch it again. Excellent.",209,750,0.0037146283973197984,0.3530065490280201,15
Paul D,10.0,2024-06-14,"What a film, hooked from start to finish",40,749,0.002387625480957017,0.5025694899564785,6
N M,10.0,2024-06-14,So good. So rewatchable. Thanks Tom Cruise for temporarily saving Hollywood.,76,749,0.002492765255727391,0.5725294470447566,7
Jimmy  D,10.0,2024-06-12,I was not sure how a sequel so many years later would be especially in todays age. But i was pleasantly surprised and it was Great.,131,747,0.0029081207521986707,0.4140412556337962,9
Owen G,10.0,2024-06-12,Tom Cruise never ceases to amaze me in every possible way. Top Gun Maverick is an absolute gem.,95,747,0.0029191331590539263,0.4862197465991996,9
OSCAR P,1.0,2024-06-12,I worked with these A/C on the flightline back in the day. This movie portrays NOTHING in reality.,98,747,0.0015972357084510702,0.7208929247958189,3
unknown,10.0,2024-06-11,Best movie I have seen in a long time,37,746,0.0028627137920264317,0.4673270679547462,9
Leroy P,10.0,2024-06-10,"Incredible viewing, you really felt you were in the cockpit feeling what the pilots were going through",102,745,0.0028002423991031937,0.42886318120683914,8
Rebecca D,10.0,2024-06-10,"This is the best movie in the world. I watched this movie before the original Top Gun, but still. Tom Cruise does amazing in his role as Maverick.",146,745,0.004047409268893217,0.3387827761312483,18
Matthew S,8.0,2024-06-10,"Great special effects, Tom was good as the aging top gun educating the new generation. Casting just so so.",106,745,0.0031752137472614616,0.3961453192116607,11
Frank F,10.0,2024-06-10,Fantastic movie and great way to followup the original. Excitement all the way and a proper continuation of the story rather than all of the terrible reboots we get these days.,176,745,0.003264847583917709,0.44159293406215455,12
Denis B,10.0,2024-06-09,Must see perfect balance of planes and glorious acting.,55,744,0.002186810700975534,0.5321906183164165,5
David C,10.0,2024-06-08,"A near perfect film. This film is not only better than the original film, it makes the first film better. So often sequels destroy the progression of the protagonist to give them new challenges, this film adeptly avoided this pitfall. Top Gun: Maverick is the benchmark of what a sequel ought to be. Special Effects, are top notch. The Tomcat, the SU-57 and the CG F-18s looked real and blended seamlessly with the practical aircraft used in the filming.  The Darkstar was absolutely believable. That being said the story is top notch. We really feel these characters are believable. And the use of the Hero's Journey make the film hit home with authority. Hollywood take note: we don't want more sequels, we want more GOOD sequels. Second to none, great film. The archetype of what a sequel ought to be!",804,743,0.006090654000156223,0.45769997420301534,47
Stan K,10.0,2024-06-08,"I confess to thinking this was going to be a horrible film when previews were first shown. I thought someone in Hollywood was pandering to GenX and phoning it in to get some quick bucks off us. I could not have been more wrong.

The action sequences exceeded the original, the pacing was excellent, the story was good.

Like Tom Cruise or hate him, he truly exposed us to many facets of his character which the younger version didn't face. It is easy to see how his character became (or stayed) who he was at this point, and to even acknowledge a very subtle showing of the PTSD the traumatic event in the first film left on him.

Absolutely worth watching and re watching.",679,743,0.005487382704531622,0.3002820517244449,33
Alexis  G,10.0,2024-06-07,"Great plot, great acting!  The whole family will watch this over and over it was that great.",92,742,0.0025543268849775548,0.5367360018083183,7
unknown,10.0,2024-06-07,I had never seen Top Gun and my plan was just to wait until it hits Parmount+. But I heard so much hype for this movie that I decided I couldn’t wait. So on after watching the original I went and saw the sequel. I couldn’t believe how great it was. I was on the edge of my seat for most of the movie. They did and amazing job with the story. The plot was great and the characters were really well thought out. 10/10 would recommend.,432,742,0.005458802092372926,0.35474257273151405,34
Mislav K,10.0,2024-06-07,Straight forward action movie like they once were. Love it!,59,742,0.0024748867476286672,0.5581436288755514,7
Crom M,4.0,2024-06-07,"Did ai write this movie? 
I loved the original, but this movie is awful.",73,742,0.002913936755291615,0.4211270441815555,9
A S,6.0,2024-06-06,"It's a summer popcorn film, for sure. 

However, there is just so much Sci-Fi added to it that didn't need to be there... and some of the acting interactions with the supporting cast are quite contrived feeling.


It just didn't leave me with that Lovin' Feelin' that the first Top Gun did.",295,741,0.0035757317917823584,0.4589214479896406,14
Larry K,10.0,2024-06-03,I know everybody loved this but I was late to the party. This movie was unbelievably awesome. No other words.,109,738,0.0023244327546937176,0.5187415907192077,6
D S,10.0,2024-06-03,"Best action movie of the pandemic. Like actors have claimed, this movie literally saved movie theaters. If you did not see this movie in the theaters then I feel sorry for you. This movie was absolutely epic in IMAX. In 10 years they will show this movie in theaters again, unless they come out with another sequel. But Tom Cruise will be too old by then so probably not.",371,738,0.004498893225873848,0.5350491332070642,28
Yuki O,9.0,2024-06-01,2回見ました。迫力すごい。トムクルーズイケメン。,24,736,0.0,0.0,0
unknown,2.0,2024-05-30,"This movie was terrible 👎 it was cliché, predictable and LAME. Do not watch this movie if you wanna be bored out of your everloving mind🙄",137,734,0.0025924608815653836,0.4535149892685712,7
Felipe F,10.0,2024-05-28,Conseguiram passar por cima do Top Gun de 1986 e deixaram a história impecável.,79,732,0.0019238544815491623,0.5941772703078644,4
Kiah B,10.0,2024-05-25,"Stress inducing, but in a good way.",35,729,0.001398736101272456,0.8036960418432022,2
Brian H,10.0,2024-05-24,Fantastic movie. I absolutely love it. Probably will rewatch it 20 times throughout my life.,92,728,0.003359782785213789,0.3680119264361534,12
eraklis e,10.0,2024-05-22,"One of not the best second movie to a classic done, it’s so good it’s hard to choose what to put on between the original and this as it gives all the same feels. Total masterpiece",179,726,0.0031552415093509694,0.4142202414787346,11
Test T,9.0,2024-05-22,"I watched this on Blu Ray recently.  Just like the original 1986 Top Gun movie this film has some really impressive flight scenes and benefits hugely from Tom Cruise' charisma, but it also has filler scenes that only serve to lower the film's production costs and dumb down the experience during the first half.  Top Gun should be all about the flight school, the training filights and the mission - i.e. the really cool exciting stuff.  Every time I watch one of these movies I end up feeling frustrated by the filler.  The musical score is also a mixed offering this time around.  The music carried over from the original film was great, but I was not impressed by the two new songs featured as music videos on the disc.  The movie improves radically in the 1/3rd act where the action is intense and exhilerating to watch.  Over all, I think this movie is a big improvement on the original, because it has an better story with more action and less filler.  Highly recommended.",978,726,0.006801237646602335,0.4558938308402799,56
Idan Charles L,9.0,2024-05-22,"I haven't seen the first one, but this was really good",54,726,0.0023741404045428197,0.5069392166892634,6
unknown,10.0,2024-05-20,Better than the original in every way. Breathtaking cinematography and great character development paired with suspenseful action sequences make this one of the most re-watchable movies I think i've ever seen.,209,724,0.0045577989106060784,0.2895582673035627,22
Olly J,10.0,2024-05-19,"YES! Just YES!! It's one of the best films ever. Everything a film should be. You can just watch it again and again. It was worth the wait, and it's a Tom Cruise classic. The man is the legend.",193,723,0.0035360200516753766,0.5522962478624337,15
Peter S,10.0,2024-05-19,"What can I say? It's Tom Cruise and yep he did it again. It's cheesy, it's testosterone on steroids, it's action packed, good old fashioned movie magic! Enjoy!",159,723,0.0035584730982452174,0.3993374075863685,14
Polariss S,10.0,2024-05-19,Absolutely love Tom Cruise. Never in my life thought I would say this but it just might be better than the og for me.,117,723,0.0034576244632023153,0.3972532189273438,13
valentin o,10.0,2024-05-14,"I loved.
The whole movie is incredible, Tom Cruise was incredible and all good actors and the planes.
very happy and very exciting.
Top Gun's music is very good, very sad and very exciting.",192,718,0.0035236034313356522,0.4763315561825075,15
Vitoria F,6.0,2024-05-14,"All the plane scenes are simply stunning! I would give them six stars. Unfortunately, the rest of the film didn't measure up. 100% cliché story, already told in countless movies and which takes up a lot of this film's time.",223,718,0.004040334193648637,0.30322794439167067,17
James F,9.0,2024-05-13,Great film. Tom's put on the wings and can now fly like he runs. For me the aerial combat scenes was what this movie was all about. The intense gliding.,152,717,0.0032931801972564444,0.38855456787605747,12
Patrick F,9.0,2024-05-13,"This is not only a great reboot/sequel, it is also a great movie. It doesn't rest on nostalgia and fan service. It tells a new engaging story that intrinsically weaves nostalgia and fan service into this new and better story. Tom Cruise gave his best performance to date in this one. Bravo!",290,717,0.00461129436040313,0.38653793799003416,26
Andi K,10.0,2024-05-10,This is my favourite movie. There's even some this movie based missions in Microsoft Flight Simulator 2020.,107,714,0.0021936902857573513,0.5203313746229098,5
Jon R,1.0,2024-05-06,Parachuting out of jet going Mach 100 and then knocking on someone’s door?  This movie is the worst. If I could have given less than a half star I would have.,158,710,0.002911813654947226,0.40016294638386335,9
Bradley H,10.0,2024-05-05,Best movie in a really long time. Almost perfect!,49,709,0.002887520771289341,0.45986663290441676,9
Scott M,10.0,2024-05-05,"To seamlessly pick up Top Gun's plot 30+ years later takes amazing craft.  Appearance, pace, visuals and music very consistent with the flagship film.  Action scenes purposeful and exciting; TGM delivers in all aspects, a real masterpiece, if there is such a thing for a popcorn/bubblegum big budget blockbuster.",312,709,0.004886135271733256,0.25214452529627934,25
Fábio e,10.0,2024-05-04,Filme excelente. Execução espetacular 10/10,43,708,0.0016846787973266927,0.7495870978998053,3
Joel K,9.0,2024-05-02,This movie is the best sequel I ever seen.,42,706,0.0022609596678359427,0.6024168835173357,6
Carter C.,10.0,2024-05-01,"With undeniably hyper-thrilling flight scenes and performances more powerful than the original could ever be, Maverick has humor and emotion that’ll somehow make any viewer cry and cheer simultaneously.",202,705,0.003516887679047027,0.3473618575366946,13
Kyle M,7.0,2024-04-27,Serviceable action movie. Don't get the hype.,45,701,0.002101122819644735,0.6172541528922322,5
unknown,10.0,2024-04-27,This is literally one of the best movies that i watched in  my life,67,701,0.002560241644193959,0.5247388266409844,7
Thomas M P,10.0,2024-04-26,This is an excellent follow-up to the original and looked and sounded great on my 9-foot screen with 7.1 surround sound.,120,700,0.0023520439074913397,0.5465905233686604,6
Eduardo H,10.0,2024-04-24,"Así es como las películas deberían de ser de nuevo, una historia que si bien toma algunos elementos de nostalgia, bien podría ser un ""Stand Alone"" y aún así es una excelente experiencia cinematográfica. el trabajo y la dedicación que se le puso a esta película transpira a la pantalla grande.",292,698,0.0030898131607131492,0.4418383629580733,11
CONNIE,10.0,2024-04-24,this was really good I enjoyed it with the husband,50,698,0.001952680122976112,0.62505954048724,4
R Z,4.0,2024-04-21,It insists upon itself.,23,695,0.0,0.0,0
Ronald E,10.0,2024-04-14,Stellar movie. Packed with action ripe with references to the original top gun. And it has Tom Cruise. Top 3 movie of all times. Seriously!,139,688,0.0036895889555496556,0.363053398181593,15
Quincy,10.0,2024-04-13,Best movie ever made,20,687,0.0016467852865831556,0.7762296162803936,3
Cheryl D,10.0,2024-04-12,"just wow everything about this film is superb from the flight scenes to tom cruise 
its as good as the original and that's saying something ..i would give this oscar's 
throughly enjoyed it ,will watch it again lots it's delightful exciting and upbeat. no secret message drummed into you about some boring topical news thing … just light entertainment at its best 
my daughter-in-law has never seen the first one ..and didn't want to watch it .. i was ill and she watched it with me to keep me company and she loved it thought it was an excellent movie",555,686,0.005522164039552125,0.24761900180829852,33
Dhanu K,9.0,2024-04-12,"The long awaited sequel, Top Gun: Maverick, surpasses its predecessor with marvelous production values, adrenaline-pumping action sequences and stunning visuals. Tom Cruise reprises his role with phenomenal charisma, while newcomer Miles Teller delivers a breakout performance.",277,686,0.005125700407031471,0.24849350979395682,28
Christine C,10.0,2024-04-11,"Might actually be the best movie I've ever watched.   Loved it, even the cheesy parts.",86,685,0.0030207902646675437,0.4427293387587811,10
Iroo M,10.0,2024-04-11,"Amazing story filled with excellent action, Top Gun: Maverick is one of the best movie I have ever seen. Great work for all actors, directors, staffs, etc.",155,685,0.004017419487266314,0.34734419821998413,18
unknown,9.0,2024-04-09,"Great sequel - overall good story line, good action - a little over the top but would rather than that underwhelming. Plus they left us hanging for a long time to get this.",172,683,0.0039832041980924,0.3159525076609864,17
David B,4.0,2024-04-01,"Did not like the first top gun,and top gun 2 is just as bad very over the top American bullshit,bar scenes embarrassing to watch,tom cruise is good,but sorry it was same story as before,glad I did not pay to see this",216,675,0.003888153525046156,0.4126362114939589,17
Mark F,7.0,2024-03-31,I was surprised by good character development.  It does have a bit of absurd moments at the beginning and end.  Good popcorn flick.,131,674,0.0034422445041077335,0.3402729115910213,12
RedStripeZoom,10.0,2024-03-31,"This is a sequel done right, such a memorable time seeing this in the cinema.",77,674,0.0025590800300497817,0.4940241801148773,7
Ian W,6.0,2024-03-30,"One purely for the cast in stone top gun and Tom Cruise  fans. It's a dull, mawkish, slow,  chessy,  chick flick with a script confused by premise, with dialogue and exposition written on the nose and riddled with clichés and a romantic story line with as much passion as dead sheep, Cruise isn't Richard Gere and this isn't anywhere near as good as Officer and a Gentleman, Dam Busters and many many more films of this genre.",426,673,0.004426280772807652,0.44318287617655616,22
Bas L,3.0,2024-03-29,basically advertising for military,34,672,0.0014141731785770988,0.7124303003853814,2
Benyamin M,10.0,2024-03-27,"Another Tom Cruise movie which makes me regret I couldn't see it in cinemas. But in Tom Cruise Might be the best of the franchise. Dead Reckoning is very fun and the action is some of the best I've ever seen. And the stunts are insane.we trust. This is in one of the best movies of the 2020s. With great cinematography, action, story, emotion and sound. We can now trust Joseph Konsinski with any movie. And this makes me so hyped for the F1 movie.",448,670,0.005226418631322508,0.3657584354697202,31
billybob 1,8.0,2024-03-27,"Seems outdated, like it missed all the times its tropes have been done before, but the visuals pick up most of the slack.  Watch it on a big screen, in theaters if you can!",172,670,0.0027880344947290372,0.43852946837385787,8
Eran A,10.0,2024-03-26,One of the best movies I've seen in a long time.,48,669,0.003222391617940727,0.41107057225105925,11
David H,9.0,2024-03-25,"I enjoyed this more than the original film. Great action flick, full of cheese and machismo. Movies like this hardly get made anymore.",134,668,0.0034248159783881174,0.3890171407400334,13
A,10.0,2024-03-24,"I wasn't expecting this to be good.. I remember the original so well.. fell in love with Tom Cruise back in the day.. so with that in mind I have to say I absolutely loved this film.. there was a decent amount of hat tips to the first film.. some of the same songs used as well to give it the nostalgia vibes.. it was nail biting and tense.. loved it.. thanks Tom, legend.",372,667,0.004192397609272017,0.3258975753104956,19
Christian T,10.0,2024-03-24,"Literally the best sequel ever made, 36yrs after top gun took the world by storm (yes I was there watching it) top gun maverick comes out, I heard the rumours and thought it would just be a cash cow until Tom cruise commited and then you know a film is going to be the real deal, the guy entertains and truly this is his masterpiece",332,667,0.004830288104423295,0.271834115400631,25
unknown,10.0,2024-03-24,"HOLY SMOKES!!! Everything everyone said about this movie was true. Thrilling, electrifying, funny, action packed, YOU NAME IT! From start to finish I loved this movie and it makes me wonder what it was like to watch the first one in theaters. Tom Cruise does his thing and Miles Teller played “Rooster” perfectly! Good to see Teller back on the big screen, feels like it’s been a minute. Soundtrack was on point (I ain’t worried, OneRepublic is a HIT HIT) and so was the filming. I just can’t say how great this movie was to watch.",531,667,0.0065326995571613885,0.31322987639494937,47
Zso V,10.0,2024-03-24,"Cinematic masterpiece. The photography, action and acting all spot on! The plot perfectly balanced not much about the backstory and the ""target"" really secondary. It's more about life story with so well integrated and brilliantly executed action. Highly recommended",265,667,0.004057101331385662,0.2937593518447709,17
Ira T,10.0,2024-03-24,"A long wait but perfectly done by Tom Cruise. I cried and cried with joy and happiness. I watch it over and over again. Loved how the young pilots picked were non famous at the time, you ate now famous and Thank ""Tom Cruise"", he put on the map. Awesome movie!",259,667,0.0038718470350122152,0.3042044532872675,16
Dexter D,10.0,2024-03-23,Unbelievable film watched it a least 5 times and will watch it so many more. It has everything you want in a fast paced action film. If I could give it any more stars I would. It definitely an unmissable film & up there as one of the best sequels ever.,252,666,0.0037067741077884482,0.42199247020421427,15
David F,10.0,2024-03-23,One of the best movies ever made in my opinion.  Rare that a follow up trumps the original but here we have it!! Let's hope there's a part 3!!!,143,666,0.0027205262939204496,0.4568579705535923,8
Huw J,4.0,2024-03-23,"Just watched some of thus on TV, Nd turned over after an hour...... it's so boring and cliché ridden.",101,666,0.002180994822257437,0.5399122542116378,5
standard-name,10.0,2024-03-23,The movie that remembered what movies were supposed to be about,63,666,0.0013688964686561752,0.8620168535296886,2
Enrique,10.0,2024-03-13,Absolutely Fantastic Movie!,27,656,0.0018881264794178361,0.6763139162688585,4
unknown,1.0,2024-03-12,It's one of the corniest movies ever made. Honestly a waste of time.,68,655,0.0016816553970782425,0.7553751384689138,3
Kahauanu K,10.0,2024-03-11,"Action action action!  This movie has it!  Taking you into the cockpit with the pilots and making you feel the G's on your own body, the cinematography is fun.  The pacing of the movie takes you from scene to scene without skipping a beat, although the dogfighting scenes may make your heart stop for a bit for a breather.  And for the guys who like movies like Shawshank and Glory, there's a bit of emotion sprinkled in there for you.  I loved every part of the movie.",469,654,0.004789537028285401,0.36600615820218596,25
FEEL THE N,10.0,2024-03-11,"Probably the best move, since 1986",34,654,0.0019474288332281754,0.6200565212772235,4
John R,1.0,2024-03-11,This was the most ridiculous and over rated movie of all time. The entire plot line is pathetic and Miles Teller finished off the movie with his terrible acting.,161,654,0.0036927651142399398,0.327883242306779,14
Terry H,10.0,2024-03-08,"Just watched it for the third time since its release. Absolutely Awesome! Just give us a movie that entertains, that's all we want.  This one delivers on so many levels.  Loved It!  Great visuals, great sound, good inspiring plot. Really fun watch.",248,651,0.004205889565128039,0.3293982803226173,19
Emerson C,10.0,2024-03-05,Muito legal este filme! Tom Cruise é sinônimo de sucesso!!!,59,648,0.0021020597485938005,0.6631840635237595,5
Morgana G,10.0,2024-03-01,It has that cliche where USA saves us all but this is certainly a masterpiece.,78,644,0.0019834744646892557,0.5685973738737132,4
Yasmin Q,8.0,2024-02-28,"Just as good, if not better, than the original - which isn't a common achievement.",82,642,0.002691507870979974,0.511491091880713,8
Angus S,8.0,2024-02-26,"High flying fun.  A great way to spend two action-packed hours of adrenaline rush.  You know it had to be good with some snarky ""professional"" reviewers panning it for it's ""pro-military message and blah blah.   It's not a deep dive into the psyche of the main characters, nor was it ever meant to be.  Can't these uptight politically consumed ""reviewers"" just take a night off from their grievances and just enjoy the action?",426,640,0.00437021917428251,0.2829967896516372,20
Matthew K,1.0,2024-02-24,"Is this a remake? Or a ""new"" movie? Come on, here.",50,638,0.001593112345581105,0.7884960149505528,3
Cota N,10.0,2024-02-24,"Pure cinema. Tom Cruise does it again. This film had my eyes glued to the screen throughout the runtime. Intense dogfights, the small character moments, beach volleyball, I loved it all. Tom Cruise and Miles Teller are exceptional in the film, and their chemistry was great. The dogfights and training montages are intense and gripping. My expectations were high, and were exceeded. This is a must watch!",404,638,0.0050495067043242435,0.34393495549920705,27
Alec B,7.0,2024-02-21,A sequel that improves upon its predecessor in just about every way and while this is still very silly in many respect there is also a satisfying emotional arc at play here that feels totally natural.,200,635,0.0032433935300977624,0.37122906716045306,11
MATEO R,10.0,2024-02-21,"This movie help that more people wanted to see the original film. And this film: well the acting, the direction, the edition, the soundtrack and of course the plane scenes make this sequel, one of the few sequels better than the original.",238,635,0.004110493496324858,0.3096840256798657,18
Jester T,6.0,2024-02-18,"Tom Cruise is frankly getting too old for this. A nonstop action movie that was good but the ""love interest"" could be his daughter.",131,632,0.0031402901219050165,0.4586223814909201,11
Jade Yasmin H,10.0,2024-02-17,"Nostalgic, amazing shots & heart thumping!",42,631,0.0019509818406718538,0.6016825404771656,4
Alex H,10.0,2024-02-16,"I don't normally say this but this was the best film of 2022. A near masterpiece in action, throwback of story while pushing forward. This summer blockbuster had everything in it.",179,630,0.0034905178515235473,0.38545189903938704,13
Blair K,10.0,2024-02-15,Unreal movie. Just adding another great review to what has become one of my all time fav movies. The casting and writing was spot on.,133,629,0.0031376111613205474,0.4162624505900365,11
David v,10.0,2024-02-12,This was just a fun movie. This is what used to get made that they just stopped making. I would love them to go back to this type of movie.,139,626,0.002941977652682825,0.3999613292310421,9
laughoy4,1.0,2024-02-11,"Horrible story telling, completely fake action, horrendous development. How people found this good was terrifying about movie consumers. Nothing was explained and everything was full of plot holes. Terrible film",211,625,0.00327254720344784,0.41561404945564095,12
Matt A,10.0,2024-02-11,"A cinematic masterpiece!
The music, the story, the tension, every shot is beautiful and thought through. 
Anyone picking less than 5 stars on this needs their head checking.",175,625,0.0029593657805016774,0.39192872269079404,9
Anton A,10.0,2024-02-11,"Straight-forward, fun sequel to Top Gun.",40,625,0.002125985647819546,0.6046757869545175,5
Caligua M,10.0,2024-02-08,Excellent and highly entertaining.,34,622,0.001724030616177887,0.6477141940144658,3
Jesperi P,9.0,2024-02-01,Really good. Actually makes you feel you are in the cockpit with an excellent plot and great action.,100,615,0.0037451287189166917,0.352430188944891,15
Music L,10.0,2024-01-30,"I'm still amazed at how good this is. That said, Ga GA's track makes me want to puke.",85,613,0.002183144883948196,0.5529174419877291,5
Erinn S,10.0,2024-01-30,"Excellent in every way! The acting, writing, editing, sound, music, production… a perfect movie for drama, action and love. This the 80's happening right now.",158,613,0.003741324525390494,0.34109705434780296,15
Neel B,10.0,2024-01-29,"I went into this film with absolutely no expectations, but I ended up coming out of the theater genuinely believing this is one of the greatest films I've ever witnessed. Actually one of the few films I believe was an IMAX worthy experience. For 98% of films this isn't the case, but the level of audio engineering + cinematography made this an excellent watch, especially the final 40 or so minutes of the film.

A lot of the film is a homage to the old Top Gun, but it doesn't get stuck trying to re-use plotlines/characters from the original film. Instead, they do a magnificent job talking about the themes of integrity, guilt, loyalty, responsibility, brotherhood, loss, and redemption. I won't go into all of them, but the challenges this film addresses on screen puts every character's resolve to the absolute limit. Genuinely a treat to watch this - Tom Cruise with an absolute masterpiece of a production.",916,612,0.0063266887999564635,0.33992943671737597,47
Brian G,10.0,2024-01-23,"Rare it happens with sequels, but Maverick is better than the Original. Pulsating action from start to finish",109,606,0.003197898427482119,0.43922542762950834,11
